channel,well,adapter,collinear_confidence,conductance,conductance_filtered_data,event,experiment_tag,flow_cell_id,group_1_adjusted_offset_0mv_pa,group_1_adjusted_offset_0mv_std,group_1_offset_voltage_mv,group_order,include_well,initial_0mv_current_pa,initial_0mv_current_std,initial_current_0_pa,initial_current_1_pa,initial_current_2_pa,initial_voltage_0_mv,initial_voltage_1_mv,initial_voltage_2_mv,intercept,intercept_adjusted_0mv_current_pa,intercept_adjusted_0mv_current_std,multiple,mux_scan_assessment,mux_uncertain,pore,pore_1,pore_median,pore_sd,previous_offset,scan_number,scan_offset_voltage_mv,scan_running_voltage_mv,seconds_since_start_of_run,strand,strand2,strand_median,strand_range,total_good_samples,total_time_active,transition,unavailable,unclassed,unknown_negative,unknown_positive,zero
50,1,0,,,False,0,no_sample,AUC747,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
51,1,0,-0.07,0.001,False,0,no_sample,AUC747,-1.219,0.598,0,0,0,-1.224,0.587,-1.219,-1.225,-1.238,-10,-20,-30,1216.007,-1.235,0.595,0,zero,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,55268
52,1,0,-0.58,0.332,False,0,no_sample,AUC747,0.319,1.74,0,0,0,0.533,1.741,3.65,6.999,10.29,-10,-20,-30,1.023,0.286,1.736,0,unavailable,0,0,16,,,0,1,0,-195,3,0,0,,,0,0.0,0,38731,0,0,5000,0
53,1,195,0.63,0.423,True,351,no_sample,AUC747,1.041,1.599,0,0,0,1.107,1.609,5.277,9.472,13.73,-10,-20,-30,2.46,1.093,1.596,0,unavailable,0,0,3849,,,0,1,0,-195,3,0,0,,,546,0.0,0,24009,0,0,25534,0
54,1,0,,,False,0,no_sample,AUC747,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
55,1,8983,3.21,0.761,True,271,no_sample,AUC747,1.892,1.605,0,1,1,1.837,1.63,9.163,16.612,24.382,-10,-20,-30,1.968,1.852,1.632,0,single_pore,0,2482,15645,215.58,1.9,0,1,0,-195,3,3003,0,117.63,62.4,14739,0.0,0,6737,0,0,17562,0
56,1,9148,4.78,0.757,True,169,no_sample,AUC747,1.265,1.59,0,1,1,1.163,1.612,8.572,15.901,23.708,-10,-20,-30,1.214,1.346,1.577,0,single_pore,0,5528,2131,217.79,1.82,0,1,0,-195,3,11953,0,116.92,58.8,26798,0.0,0,21437,0,0,4008,0
57,1,7517,4.64,0.757,True,156,no_sample,AUC747,1.703,1.602,0,1,1,1.836,1.564,9.001,16.335,24.133,-10,-20,-30,1.788,1.808,1.551,0,single_pore,0,1772,25787,215.38,1.67,0,1,0,-195,3,3636,0,119.92,59.5,13081,0.0,0,16754,0,0,523,0
58,1,1463,2.28,0.745,True,0,no_sample,AUC747,1.826,1.535,0,0,0,1.839,1.587,8.811,16.15,23.717,-10,-20,-30,1.769,1.821,1.567,0,unavailable,0,6768,12635,212.1,1.68,0,1,0,-195,3,1285,0,116.68,62.2,9516,0.0,0,31773,0,0,346,0
59,1,29164,3.33,0.754,True,155,no_sample,AUC747,1.84,1.517,0,1,1,1.922,1.555,9.041,16.417,24.126,-10,-20,-30,1.91,1.881,1.539,0,single_pore,0,7711,1850,214.36,1.6,0,1,0,-195,3,9152,0,117.53,62.3,46182,0.0,0,0,0,0,7049,0
60,1,0,,,False,0,no_sample,AUC747,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
61,1,0,-1.79,0.495,True,8,no_sample,AUC747,1.089,1.681,0,0,0,1.568,1.604,6.666,11.705,16.565,-10,-20,-30,3.526,1.187,1.657,0,zero,0,0,1087,,,0,1,0,-195,3,0,12843,,,8,0.0,0,13140,0,0,3316,25026
62,1,0,,,False,0,no_sample,AUC747,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
63,1,0,,,False,0,no_sample,AUC747,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
64,1,0,0.19,0.044,False,0,no_sample,AUC747,-1.247,1.765,0,0,0,-1.076,1.755,-0.681,-0.252,0.196,-10,-20,-30,-25.602,-1.144,1.746,0,zero,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,55214
65,1,6476,2.21,0.774,True,95,no_sample,AUC747,1.78,1.761,0,1,1,1.808,1.765,9.166,16.798,24.651,-10,-20,-30,1.79,1.849,1.749,0,single_pore,0,5482,20882,219.56,1.92,0,1,0,-195,3,6080,0,118.62,63.9,18133,0.0,0,12832,0,0,4730,0
66,1,6119,3.46,0.767,True,7699,no_sample,AUC747,1.481,1.563,0,1,1,1.531,1.581,8.838,16.339,24.186,-10,-20,-30,1.438,1.477,1.58,0,single_pore,0,859,6427,215.71,1.53,0,1,0,-195,3,7962,10031,114.05,60.9,22639,0.0,0,4540,0,0,10292,285
67,1,0,-0.73,0.09,False,0,no_sample,AUC747,1.499,1.638,0,0,0,-1.21,1.591,-0.216,0.725,1.593,-10,-20,-30,-12.258,-1.146,1.603,0,zero,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,14,55083
68,1,10029,2.89,0.752,True,34,no_sample,AUC747,1.263,1.589,0,1,1,1.257,1.573,8.429,15.807,23.474,-10,-20,-30,1.138,1.317,1.619,0,single_pore,0,6931,544,211.65,1.62,0,1,0,-195,3,8227,0,118.73,67.6,25221,0.0,0,23209,0,0,4756,0
69,1,25080,2.51,0.759,True,179,no_sample,AUC747,1.681,1.581,0,1,1,1.701,1.545,9.023,16.483,24.194,-10,-20,-30,1.838,1.709,1.565,0,single_pore,0,5035,1855,215.76,1.78,0,1,0,-195,3,2578,0,120.24,50.6,32872,0.0,0,12055,0,0,7268,0
70,1,13528,2.93,0.755,True,99,no_sample,AUC747,1.498,1.477,0,1,1,1.528,1.498,8.623,16.026,23.722,-10,-20,-30,1.355,1.453,1.47,0,single_pore,0,20369,361,216.39,1.54,0,1,0,-195,3,5241,0,118.94,64.1,39237,0.0,0,13348,0,0,1517,0
71,1,0,,,False,0,no_sample,AUC747,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
72,1,12817,2.29,0.741,True,148,no_sample,AUC747,1.866,1.516,0,1,1,1.9,1.491,8.961,16.261,23.79,-10,-20,-30,2.033,1.889,1.497,0,single_pore,0,6598,350,210.35,1.62,0,1,0,-195,3,6385,15024,114.86,57.9,25948,0.0,0,16997,0,0,579,0
73,1,0,,,False,0,no_sample,AUC747,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
74,1,0,48.79,0.557,True,78,no_sample,AUC747,1.324,1.543,0,0,0,0.829,1.517,6.073,9.206,17.218,-10,-20,-30,-1.728,1.518,1.529,0,unavailable,0,0,109,,,0,1,0,-195,3,0,0,,,78,0.0,0,31432,0,0,23791,0
75,1,0,,,False,0,no_sample,AUC747,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
76,1,0,,,False,0,no_sample,AUC747,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
77,1,0,,,False,0,no_sample,AUC747,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
78,1,3067,3.87,0.78,True,167,no_sample,AUC747,1.973,1.684,0,0,0,2.065,1.712,9.32,16.925,24.917,-10,-20,-30,1.864,1.993,1.689,0,unavailable,0,1313,5680,220.18,1.48,0,1,0,-195,3,6752,5002,114.3,52.7,11299,0.0,0,30579,0,0,4007,0
79,1,18491,4.18,0.765,True,132,no_sample,AUC747,1.594,1.667,0,1,1,1.611,1.639,8.727,16.165,24.021,-10,-20,-30,1.316,1.588,1.613,0,single_pore,0,15483,1576,217.38,1.69,0,1,0,-195,3,10475,0,116.37,62.8,44581,0.0,0,0,0,0,9022,0
80,1,0,-31.45,0.153,False,0,no_sample,AUC747,0.604,1.723,0,0,0,-1.066,1.559,0.851,3.954,3.912,-10,-20,-30,-5.957,-0.523,1.572,0,unavailable,0,0,6,,,0,1,0,-195,3,0,0,,,0,0.0,0,38739,0,0,5000,0
81,1,0,0.7,0.073,False,0,no_sample,AUC747,-1.037,1.53,0,0,0,-0.966,1.53,-0.526,0.172,0.94,-10,-20,-30,-17.337,-1.06,1.514,0,zero,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,55175
82,1,7196,1.68,0.76,True,20,no_sample,AUC747,2.139,1.659,0,0,0,2.116,1.638,9.322,16.835,24.516,-10,-20,-30,2.233,2.1,1.595,0,zero,0,1386,514,215.23,1.58,0,1,0,-195,3,2563,0,117.07,70.8,11165,0.0,0,10008,0,0,4505,17373
83,1,15279,9.04,0.75,True,78,no_sample,AUC747,1.79,1.517,0,1,1,1.849,1.516,8.933,15.978,23.927,-10,-20,-30,1.688,1.769,1.538,0,single_pore,0,4847,670,214.88,1.69,0,1,0,-195,3,1375,0,117.78,54.5,21579,0.0,0,0,0,0,7267,25061
84,1,1238,4.28,0.742,True,61,no_sample,AUC747,1.87,1.536,0,1,1,1.908,1.523,9.118,16.324,23.958,-10,-20,-30,2.186,1.9,1.569,0,single_pore,0,15197,2368,209.24,2.16,0,1,0,-195,3,1187,0,111.32,48.5,17683,0.0,0,0,0,0,34686,0
85,1,0,,,False,0,no_sample,AUC747,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
86,1,0,,,False,0,no_sample,AUC747,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
87,1,2749,3.2,0.751,True,52,no_sample,AUC747,2.171,1.585,0,0,0,2.255,1.548,9.17,16.522,24.194,-10,-20,-30,2.133,2.13,1.569,0,unavailable,0,2192,385,213.66,1.88,0,1,0,-195,3,1170,12165,110.5,58.8,6163,0.0,0,31507,0,0,2749,0
88,1,0,,,False,0,no_sample,AUC747,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
89,1,0,,,False,0,no_sample,AUC747,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
90,1,0,4.47,0.767,True,59,no_sample,AUC747,1.698,1.686,0,0,0,1.687,1.734,8.946,16.394,24.289,-10,-20,-30,1.558,1.695,1.721,0,unavailable,0,0,208,,,0,1,0,-195,3,0,5197,,,59,0.0,0,33308,0,0,5519,0
91,1,9063,3.74,0.777,True,176,no_sample,AUC747,1.817,1.842,0,1,1,1.856,1.823,9.218,16.805,24.766,-10,-20,-30,1.773,1.874,1.872,0,single_pore,0,6060,2695,218.33,1.91,0,1,0,-195,3,0,0,,,15299,0.0,0,25450,0,0,9829,342
92,1,2268,2.32,0.821,True,140,no_sample,AUC747,2.492,1.633,0,0,0,2.552,1.589,10.432,18.524,26.848,-10,-20,-30,2.661,2.433,1.559,0,unavailable,0,7866,21493,220.72,1.9,0,1,0,-195,3,0,0,,,10274,0.0,0,13882,0,0,8260,0
93,1,4905,3.76,0.776,True,78,no_sample,AUC747,1.63,1.636,0,0,0,1.639,1.621,8.987,16.561,24.511,-10,-20,-30,1.493,1.683,1.632,0,unavailable,0,7050,108,221.44,1.74,0,1,0,-195,3,0,13726,,,12033,0.0,0,15223,0,0,2915,0
94,1,15154,4.03,0.757,True,168,no_sample,AUC747,1.393,1.579,0,1,1,1.434,1.544,8.639,16.004,23.772,-10,-20,-30,1.324,1.394,1.551,0,single_pore,0,9628,877,214.98,1.64,0,1,0,-195,3,4932,0,112.17,56.9,29882,0.0,0,12561,0,0,10978,0
95,1,0,2.64,0.052,False,0,no_sample,AUC747,0.336,1.607,0,0,0,0.455,1.645,1.498,1.888,2.542,-10,-20,-30,17.064,0.261,1.59,0,unavailable,0,0,13,,,0,1,0,-195,3,0,0,,,0,0.0,0,38736,0,0,5000,0
96,1,15493,3.28,0.76,True,161,no_sample,AUC747,1.533,1.522,0,1,1,1.527,1.527,8.738,16.173,23.936,-10,-20,-30,1.424,1.506,1.52,0,single_pore,0,4368,1353,215.05,1.65,0,1,0,-195,3,10998,5006,113.91,61.7,31020,0.0,0,11194,0,0,8441,0
