channel,well,adapter,collinear_confidence,conductance,conductance_filtered_data,event,experiment_tag,flow_cell_id,group_1_adjusted_offset_0mv_pa,group_1_adjusted_offset_0mv_std,group_1_offset_voltage_mv,group_order,include_well,initial_0mv_current_pa,initial_0mv_current_std,initial_current_0_pa,initial_current_1_pa,initial_current_2_pa,initial_voltage_0_mv,initial_voltage_1_mv,initial_voltage_2_mv,intercept,intercept_adjusted_0mv_current_pa,intercept_adjusted_0mv_current_std,multiple,mux_scan_assessment,mux_uncertain,pore,pore_1,pore_median,pore_sd,previous_offset,scan_number,scan_offset_voltage_mv,scan_running_voltage_mv,seconds_since_start_of_run,strand,strand2,strand_median,strand_range,total_good_samples,total_time_active,transition,unavailable,unclassed,unknown_negative,unknown_positive,zero
63,1,0,16.98,0.306,False,50,no_sample,AUY346,0.839,1.33,0,0,0,0.686,1.306,5.714,7.92,11.824,-10,-20,-30,7.08,0.389,1.366,0,unavailable,0,0,573,,,0,1,0,-195,2,0,0,,,50,0.0,0,28357,0,0,5074,9113
64,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
65,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
66,1,20502,2.83,0.742,True,171,no_sample,AUY346,1.576,1.304,0,1,1,1.57,1.323,8.407,15.687,23.25,-10,-20,-30,1.262,1.394,1.331,0,single_pore,0,16014,1985,211.27,1.48,0,1,0,-195,2,14317,0,115.29,60.7,51004,0.0,0,0,0,0,2183,165
67,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
68,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
69,1,9077,4.21,0.738,True,43,no_sample,AUY346,2.025,1.246,0,1,1,2.069,1.207,8.879,16.053,23.648,-10,-20,-30,1.923,2.023,1.212,0,single_pore,0,13766,242,209.84,1.45,0,1,0,-195,2,1351,2360,113.72,58.3,24237,0.0,0,24114,0,0,2910,0
70,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
71,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
72,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
73,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
74,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
75,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
76,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
77,1,8514,3.61,0.738,True,51,no_sample,AUY346,1.524,1.327,0,1,1,1.574,1.353,8.54,15.738,23.297,-10,-20,-30,1.488,1.566,1.317,0,single_pore,0,5486,389,210.02,1.51,0,1,0,-195,2,10059,0,113.94,60.9,24110,0.0,0,27797,0,0,5616,469
78,1,0,7.04,3.029,False,0,no_sample,AUY346,12.036,1.454,0,0,0,12.087,1.462,43.37,73.309,103.952,-10,-20,-30,4.278,12.044,1.439,32659,multiple,0,0,15,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,3,0
79,1,7114,2.86,0.745,True,72,no_sample,AUY346,1.844,1.229,0,1,1,1.928,1.228,8.749,16.055,23.647,-10,-20,-30,1.679,1.865,1.218,0,single_pore,0,4258,20507,209.61,1.43,0,1,0,-195,2,2862,0,113.57,59.9,14306,0.0,0,12578,0,0,7777,0
80,1,1732,4.13,0.744,True,13,no_sample,AUY346,1.917,1.192,0,1,1,2.108,1.185,9.09,16.325,23.973,-10,-20,-30,2.117,2.091,1.207,0,single_pore,0,6845,22311,206.63,1.36,0,1,0,-195,2,5688,0,109.98,57.1,14278,0.0,0,14200,0,0,3854,0
81,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
82,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
83,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
84,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
85,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
86,1,8973,4.02,0.723,True,36,no_sample,AUY346,2.32,1.196,0,1,1,2.36,1.209,9.169,16.201,23.635,-10,-20,-30,2.578,2.332,1.211,0,single_pore,0,11480,3821,201.41,1.36,0,1,0,-195,2,1264,0,108.27,65.6,21753,0.0,0,0,0,0,7539,25062
87,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
88,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
89,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
90,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
